,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU102,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__uncultured_bacterium_f_Burkholderiaceae,s__uncultured_bacterium_f_Burkholderiaceae
OTU1020,k__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__uncultured_bacterium_o_Saccharimonadales,g__uncultured_bacterium_o_Saccharimonadales,s__uncultured_bacterium_o_Saccharimonadales
OTU1021,k__Bacteria,p__Chloroflexi,c__P2-11E,o__uncultured_bacterium_c_P2-11E,f__uncultured_bacterium_c_P2-11E,g__uncultured_bacterium_c_P2-11E,s__uncultured_bacterium_c_P2-11E
OTU1023,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Cellulomonadaceae,g__Cellulomonas,s__uncultured_bacterium_g_Cellulomonas
OTU10233,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Coxiellales,f__Coxiellaceae,g__Coxiella,s__Coxiella_endosymbiont_of_Ornithodoros_marocanus
OTU1024,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Ralstonia,s__Ralstonia_pickettii
OTU1025,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__uncultured_bacterium_f_A4b,s__uncultured_bacterium_f_A4b
OTU1026,k__Bacteria,p__Latescibacteria,c__Latescibacteria,o__Latescibacterales,f__Latescibacteraceae,g__uncultured_bacterium_f_Latescibacteraceae,s__uncultured_bacterium_f_Latescibacteraceae
OTU1027,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Flavisolibacter,s__uncultured_bacterium_g_Flavisolibacter
OTU1028,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcaceae_UCG-014,s__uncultured_bacterium_g_Ruminococcaceae_UCG-014
OTU1029,k__Bacteria,p__Acidobacteria,c__Blastocatellia_Subgroup_4,o__11-24,f__uncultured_bacterium_o_11-24,g__uncultured_bacterium_o_11-24,s__uncultured_bacterium_o_11-24
OTU103,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Rickettsiaceae,g__Rickettsia,s__uncultured_bacterium_g_Rickettsia
OTU1030,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcaceae_UCG-004,s__uncultured_bacterium_g_Ruminococcaceae_UCG-004
OTU10302,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__uncultured_bacterium_f_Microbacteriaceae,s__uncultured_bacterium_f_Microbacteriaceae
OTU1031,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Frankiales,f__uncultured_bacterium_o_Frankiales,g__uncultured_bacterium_o_Frankiales,s__uncultured_bacterium_o_Frankiales
OTU1032,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__uncultured_bacterium_f_Steroidobacteraceae,s__uncultured_bacterium_f_Steroidobacteraceae
OTU1033,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Turicibacter,s__uncultured_bacterium_g_Turicibacter
OTU1034,k__Bacteria,p__Acidobacteria,c__Subgroup_17,o__uncultured_bacterium_c_Subgroup_17,f__uncultured_bacterium_c_Subgroup_17,g__uncultured_bacterium_c_Subgroup_17,s__uncultured_bacterium_c_Subgroup_17
OTU1035,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Agathobacter,s__uncultured_bacterium_g_Agathobacter
OTU1036,k__Bacteria,p__Gemmatimonadetes,c__S0134_terrestrial_group,o__uncultured_bacterium_c_S0134_terrestrial_group,f__uncultured_bacterium_c_S0134_terrestrial_group,g__uncultured_bacterium_c_S0134_terrestrial_group,s__uncultured_bacterium_c_S0134_terrestrial_group
OTU10369,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Arenimonas,s__uncultured_bacterium_g_Arenimonas
OTU1037,k__Bacteria,p__Gemmatimonadetes,c__S0134_terrestrial_group,o__uncultured_bacterium_c_S0134_terrestrial_group,f__uncultured_bacterium_c_S0134_terrestrial_group,g__uncultured_bacterium_c_S0134_terrestrial_group,s__uncultured_bacterium_c_S0134_terrestrial_group
OTU1038,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__uncultured_bacterium_f_Flavobacteriaceae,s__uncultured_bacterium_f_Flavobacteriaceae
OTU10382,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__SC-I-84,g__uncultured_bacterium_f_SC-I-84,s__uncultured_bacterium_f_SC-I-84
OTU10387,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Chitinophaga,s__Chitinophaga_pinensis
OTU1039,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Ardenticatenales,f__uncultured_bacterium_o_Ardenticatenales,g__uncultured_bacterium_o_Ardenticatenales,s__uncultured_bacterium_o_Ardenticatenales
OTU104,k__Bacteria,p__Rokubacteria,c__NC10,o__Rokubacteriales,f__uncultured_bacterium_o_Rokubacteriales,g__uncultured_bacterium_o_Rokubacteriales,s__uncultured_bacterium_o_Rokubacteriales
OTU1040,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Pseudoflavitalea,s__uncultured_bacterium_g_Pseudoflavitalea
OTU1041,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__uncultured_bacterium_c_Subgroup_6,f__uncultured_bacterium_c_Subgroup_6,g__uncultured_bacterium_c_Subgroup_6,s__uncultured_bacterium_c_Subgroup_6
OTU1042,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__uncultured_bacterium_c_Alphaproteobacteria,f__uncultured_bacterium_c_Alphaproteobacteria,g__uncultured_bacterium_c_Alphaproteobacteria,s__uncultured_bacterium_c_Alphaproteobacteria
OTU1044,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Buchnera,s__bacterium_endosymbiont_Aphis_gossypii
OTU1045,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__uncultured_bacterium_f_Muribaculaceae,s__uncultured_bacterium_f_Muribaculaceae
OTU10456,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Polyangiaceae,g__Pajaroellobacter,s__uncultured_bacterium_g_Pajaroellobacter
OTU1046,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__uncultured_bacterium_c_Subgroup_6,f__uncultured_bacterium_c_Subgroup_6,g__uncultured_bacterium_c_Subgroup_6,s__uncultured_bacterium_c_Subgroup_6
OTU1047,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Frankiales,f__Sporichthyaceae,g__Sporichthya,s__uncultured_bacterium_g_Sporichthya
OTU10479,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__uncultured_bacterium_f_Ilumatobacteraceae,s__uncultured_bacterium_f_Ilumatobacteraceae
OTU1048,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__PeM15,f__uncultured_bacterium_o_PeM15,g__uncultured_bacterium_o_PeM15,s__uncultured_bacterium_o_PeM15
OTU1049,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Mycoplasmatales,f__Mycoplasmataceae,g__Candidatus_Bacilloplasma,s__uncultured_bacterium_g_Candidatus_Bacilloplasma
OTU105,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Lysobacter,s__uncultured_bacterium_g_Lysobacter
OTU1050,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae,g__mle1-7,s__uncultured_bacterium_g_mle1-7
OTU1051,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,g__uncultured_bacterium_f_Saprospiraceae,s__uncultured_bacterium_f_Saprospiraceae
OTU1055,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__uncultured_bacterium_f_Lachnospiraceae,s__uncultured_bacterium_f_Lachnospiraceae
OTU1056,k__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__uncultured_bacterium_o_Saccharimonadales,g__uncultured_bacterium_o_Saccharimonadales,s__uncultured_bacterium_o_Saccharimonadales
OTU1058,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Sandaracinaceae,g__uncultured_bacterium_f_Sandaracinaceae,s__uncultured_bacterium_f_Sandaracinaceae
OTU1059,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Nannocystaceae,g__uncultured_bacterium_f_Nannocystaceae,s__uncultured_bacterium_f_Nannocystaceae
OTU106,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__Ohtaekwangia,s__uncultured_bacterium_g_Ohtaekwangia
OTU1060,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sneathiellales,f__Sneathiellaceae,g__Ferrovibrio,s__uncultured_bacterium_g_Ferrovibrio
OTU1061,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Niastella,s__uncultured_bacterium_g_Niastella
OTU1062,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__uncultured_bacterium_g_Staphylococcus
OTU10632,k__Bacteria,p__Actinobacteria,c__MB-A2-108,o__uncultured_bacterium_c_MB-A2-108,f__uncultured_bacterium_c_MB-A2-108,g__uncultured_bacterium_c_MB-A2-108,s__uncultured_bacterium_c_MB-A2-108
OTU1064,k__Bacteria,p__Acidobacteria,c__Subgroup_5,o__uncultured_bacterium_c_Subgroup_5,f__uncultured_bacterium_c_Subgroup_5,g__uncultured_bacterium_c_Subgroup_5,s__uncultured_bacterium_c_Subgroup_5
OTU1065,k__Bacteria,p__Rokubacteria,c__NC10,o__Rokubacteriales,f__uncultured_bacterium_o_Rokubacteriales,g__uncultured_bacterium_o_Rokubacteriales,s__uncultured_bacterium_o_Rokubacteriales
OTU1066,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__uncultured_bacterium_f_Pedosphaeraceae,s__uncultured_bacterium_f_Pedosphaeraceae
OTU1067,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__uncultured_bacterium_o_Myxococcales,g__uncultured_bacterium_o_Myxococcales,s__uncultured_bacterium_o_Myxococcales
OTU1068,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__A0839,g__uncultured_bacterium_f_A0839,s__uncultured_bacterium_f_A0839
OTU1069,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__uncultured_bacterium_c_Subgroup_6,f__uncultured_bacterium_c_Subgroup_6,g__uncultured_bacterium_c_Subgroup_6,s__uncultured_bacterium_c_Subgroup_6
OTU10691,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Tistrellales,f__Geminicoccaceae,g__uncultured_bacterium_f_Geminicoccaceae,s__uncultured_bacterium_f_Geminicoccaceae
OTU107,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__Steroidobacter,s__uncultured_bacterium_g_Steroidobacter
OTU1071,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__uncultured_bacterium_f_Gemmatimonadaceae,s__uncultured_bacterium_f_Gemmatimonadaceae
OTU1072,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__uncultured_bacterium_g_Flavobacterium
OTU1073,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__P3OB-42,g__uncultured_bacterium_f_P3OB-42,s__uncultured_bacterium_f_P3OB-42
OTU1074,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__uncultured_bacterium_f_Xanthomonadaceae,s__uncultured_bacterium_f_Xanthomonadaceae
OTU1075,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__uncultured_bacterium_f_Burkholderiaceae,s__uncultured_bacterium_f_Burkholderiaceae
OTU1076,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae,g__Azoarcus,s__uncultured_bacterium_g_Azoarcus
OTU10763,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__uncultured_bacterium_c_Subgroup_6,f__uncultured_bacterium_c_Subgroup_6,g__uncultured_bacterium_c_Subgroup_6,s__uncultured_bacterium_c_Subgroup_6
OTU1077,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__uncultured_bacterium_g_Nocardioides
OTU1078,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Haliangiaceae,g__Haliangium,s__uncultured_bacterium_g_Haliangium
OTU1079,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Polyangiaceae,g__Pajaroellobacter,s__uncultured_bacterium_g_Pajaroellobacter
OTU108,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Coriobacteriaceae_UCG-002,s__uncultured_bacterium_g_Coriobacteriaceae_UCG-002
OTU1080,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__uncultured_bacterium_o_Rhizobiales,g__uncultured_bacterium_o_Rhizobiales,s__uncultured_bacterium_o_Rhizobiales
OTU1081,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Acidaminococcaceae,g__Phascolarctobacterium,s__uncultured_bacterium_g_Phascolarctobacterium
OTU1082,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__uncultured_bacterium_c_Alphaproteobacteria,f__uncultured_bacterium_c_Alphaproteobacteria,g__uncultured_bacterium_c_Alphaproteobacteria,s__uncultured_bacterium_c_Alphaproteobacteria
OTU1083,k__Bacteria,p__Acidobacteria,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae,g__Subgroup_10,s__uncultured_bacterium_g_Subgroup_10
OTU1084,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Salinicoccus,s__Salinicoccus_roseus
OTU1086,k__Bacteria,p__Gemmatimonadetes,c__S0134_terrestrial_group,o__uncultured_bacterium_c_S0134_terrestrial_group,f__uncultured_bacterium_c_S0134_terrestrial_group,g__uncultured_bacterium_c_S0134_terrestrial_group,s__uncultured_bacterium_c_S0134_terrestrial_group
OTU10869,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__uncultured_bacterium_c_Subgroup_6,f__uncultured_bacterium_c_Subgroup_6,g__uncultured_bacterium_c_Subgroup_6,s__uncultured_bacterium_c_Subgroup_6
OTU1087,k__Bacteria,p__Acidobacteria,c__Blastocatellia_Subgroup_4,o__11-24,f__uncultured_bacterium_o_11-24,g__uncultured_bacterium_o_11-24,s__uncultured_bacterium_o_11-24
OTU1089,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3,g__uncultured_bacterium_f_Solibacteraceae_Subgroup_3,s__uncultured_bacterium_f_Solibacteraceae_Subgroup_3
OTU109,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae_1,g__Clostridium_sensu_stricto_1,s__uncultured_bacterium_g_Clostridium_sensu_stricto_1
OTU1090,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__uncultured_bacterium_f_Rikenellaceae,s__uncultured_bacterium_f_Rikenellaceae
OTU1092,k__Bacteria,p__Acidobacteria,c__Blastocatellia_Subgroup_4,o__11-24,f__uncultured_bacterium_o_11-24,g__uncultured_bacterium_o_11-24,s__uncultured_bacterium_o_11-24
OTU1093,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__uncultured_bacterium_c_Gammaproteobacteria,f__uncultured_bacterium_c_Gammaproteobacteria,g__uncultured_bacterium_c_Gammaproteobacteria,s__uncultured_bacterium_c_Gammaproteobacteria
OTU1095,k__Bacteria,p__Gemmatimonadetes,c__Longimicrobia,o__Longimicrobiales,f__Longimicrobiaceae,g__uncultured_bacterium_f_Longimicrobiaceae,s__uncultured_bacterium_f_Longimicrobiaceae
OTU1097,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae,g__mle1-7,s__uncultured_bacterium_g_mle1-7
OTU1099,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__uncultured_bacterium_c_Subgroup_6,f__uncultured_bacterium_c_Subgroup_6,g__uncultured_bacterium_c_Subgroup_6,s__uncultured_bacterium_c_Subgroup_6
OTU11,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__uncultured_bacterium_f_Atopobiaceae,s__uncultured_bacterium_f_Atopobiaceae
OTU110,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__uncultured_bacterium_g_Bacillus
OTU1101,k__Bacteria,p__Acidobacteria,c__Subgroup_17,o__uncultured_bacterium_c_Subgroup_17,f__uncultured_bacterium_c_Subgroup_17,g__uncultured_bacterium_c_Subgroup_17,s__uncultured_bacterium_c_Subgroup_17
OTU1102,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Oscillibacter,s__uncultured_bacterium_g_Oscillibacter
OTU1103,k__Bacteria,p__Actinobacteria,c__Nitriliruptoria,o__Euzebyales,f__Euzebyaceae,g__uncultured_bacterium_f_Euzebyaceae,s__uncultured_bacterium_f_Euzebyaceae
OTU1104,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Dermabacteraceae,g__Brachybacterium,s__uncultured_bacterium_g_Brachybacterium
OTU1106,k__Bacteria,p__Gemmatimonadetes,c__Longimicrobia,o__Longimicrobiales,f__Longimicrobiaceae,g__uncultured_bacterium_f_Longimicrobiaceae,s__uncultured_bacterium_f_Longimicrobiaceae
OTU1107,k__Bacteria,p__Chloroflexi,c__TK10,o__bacterium_Ellin6543,f__uncultured_bacterium_o_bacterium_Ellin6543,g__uncultured_bacterium_o_bacterium_Ellin6543,s__uncultured_bacterium_o_bacterium_Ellin6543
OTU11079,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__TRA3-20,g__uncultured_bacterium_f_TRA3-20,s__uncultured_bacterium_f_TRA3-20
OTU1108,k__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__uncultured_bacterium_c_Planctomycetacia,f__uncultured_bacterium_c_Planctomycetacia,g__uncultured_bacterium_c_Planctomycetacia,s__uncultured_bacterium_c_Planctomycetacia
OTU1109,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__uncultured_bacterium_f_Rhodanobacteraceae,s__uncultured_bacterium_f_Rhodanobacteraceae
OTU111,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__uncultured_bacterium_c_Subgroup_6,f__uncultured_bacterium_c_Subgroup_6,g__uncultured_bacterium_c_Subgroup_6,s__uncultured_bacterium_c_Subgroup_6
OTU1112,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__uncultured_bacterium_c_Acidimicrobiia,f__uncultured_bacterium_c_Acidimicrobiia,g__uncultured_bacterium_c_Acidimicrobiia,s__uncultured_bacterium_c_Acidimicrobiia
OTU1113,k__Bacteria,p__Acidobacteria,c__Subgroup_17,o__uncultured_bacterium_c_Subgroup_17,f__uncultured_bacterium_c_Subgroup_17,g__uncultured_bacterium_c_Subgroup_17,s__uncultured_bacterium_c_Subgroup_17
OTU1115,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptosporangiales,f__Nocardiopsaceae,g__Thermobifida,s__uncultured_bacterium_g_Thermobifida
OTU1116,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__uncultured_bacterium_c_Subgroup_6,f__uncultured_bacterium_c_Subgroup_6,g__uncultured_bacterium_c_Subgroup_6,s__uncultured_bacterium_c_Subgroup_6
OTU1117,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__CL500-29_marine_group,s__Hevea_brasiliensis_phytoplasma
OTU1118,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfarculales,f__Desulfarculaceae,g__uncultured_bacterium_f_Desulfarculaceae,s__uncultured_bacterium_f_Desulfarculaceae
OTU1119,k__Bacteria,p__Actinobacteria,c__Rubrobacteria,o__Rubrobacterales,f__Rubrobacteriaceae,g__Rubrobacter,s__uncultured_bacterium_g_Rubrobacter
OTU112,k__Bacteria,p__Acidobacteria,c__Subgroup_25,o__uncultured_bacterium_c_Subgroup_25,f__uncultured_bacterium_c_Subgroup_25,g__uncultured_bacterium_c_Subgroup_25,s__uncultured_bacterium_c_Subgroup_25
OTU1120,k__Bacteria,p__Acidobacteria,c__Blastocatellia_Subgroup_4,o__11-24,f__uncultured_bacterium_o_11-24,g__uncultured_bacterium_o_11-24,s__uncultured_bacterium_o_11-24
OTU1121,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__uncultured_bacterium_c_Subgroup_6,f__uncultured_bacterium_c_Subgroup_6,g__uncultured_bacterium_c_Subgroup_6,s__uncultured_bacterium_c_Subgroup_6
OTU1123,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Pseudoxanthomonas,s__uncultured_bacterium_g_Pseudoxanthomonas
