a,b,bray_b,bray_f,dist_geo,dist_climate,dist_soil
CCCHF5,CCCSF1,61.5705396,65.16201319,0,0,33.23489599
CCCHF5,CCCSF3,61.15547205,49.82103125,0,0,29.4163421
CCCHF5,CCCSF4,61.33677753,64.9817136,0,0,28.29542707
CCCHF5,CCMEF1,59.05563572,42.70314982,0,0,45.9126244
CCCHF5,CCMEF4,59.57994817,57.11352905,0,0,42.94107632
CCCHF5,CCMEF5,51.74140217,30.8378495,0,0,43.54944323
CCCHF5,HDCHF2,37.08113895,56.07609656,73.55307958,29.76084727,149.9031264
CCCHF5,HDCHF4,42.65818471,59.1673991,73.55307958,29.76084727,170.6993138
CCCHF5,HDCHF5,15.63868066,56.93076923,73.55307958,29.76084727,142.5717678
CCCHF5,HDCSF1,26.92007043,43.09621831,73.55307958,29.76084727,108.1626815
CCCHF5,HDCSF2,37.93818446,26.93766938,73.55307958,29.76084727,104.0613269
CCCHF5,HDCSF4,33.68118744,26.36109068,73.55307958,29.76084727,118.5205084
CCCHF5,HDMEF2,22.38376981,21.4621297,73.55307958,29.76084727,132.1717957
CCCHF5,HDMEF3,19.87907524,20.64505912,73.55307958,29.76084727,128.7764916
CCCHF5,HDMEF5,21.43191851,17.59194144,73.55307958,29.76084727,143.8795262
CCCHF5,HSPCHF1,19.879866,11.20098857,116.6382244,172.3160203,118.0247772
CCCHF5,HSPCHF2,20.34585292,13.88402323,116.6382244,172.3160203,110.7389647
CCCHF5,HSPCHF3,19.46896835,10.15605579,116.6382244,172.3160203,89.99257705
CCCHF5,HSPCSF2,18.51321723,17.13174701,118.7150386,172.3160203,123.3073738
CCCHF5,HSPCSF3,20.81306947,13.38835524,118.7150386,172.3160203,122.5533337
CCCHF5,HSPCSF5,19.28657949,16.69822328,118.7150386,172.3160203,128.2954932
CCCHF5,HSPMEF3,22.89640418,12.54578182,117.4997666,172.3160203,120.9047804
CCCHF5,HSPMEF4,22.41917632,11.93134808,117.4997666,172.3160203,123.9914609
CCCHF5,HSPMEF5,24.46061777,10.36317737,117.4997666,172.3160203,128.8106687
CCCHF5,SSBCHF1,60.80574892,18.65363529,14.84837483,91.40002673,71.50561353
CCCHF5,SSBCHF3,60.48995778,24.33888345,14.84837483,91.40002673,74.42828181
CCCHF5,SSBCHF4,9.788282942,15.92145188,14.84837483,91.40002673,74.77136922
CCCHF5,SSBCSF1,60.78581011,15.32097925,14.84837483,91.40002673,157.8545237
CCCHF5,SSBCSF3,60.18513297,11.10839141,14.84837483,91.40002673,153.057243
CCCHF5,SSBCSF4,60.07792333,15.62014769,14.84837483,91.40002673,152.2541595
CCCHF5,SSBMEF2,60.06210144,27.33911548,12.67627241,91.40002673,90.30607824
CCCHF5,SSBMEF4,59.95647873,41.80318697,12.67627241,91.40002673,86.59305431
CCCHF5,SSBMEF5,59.94306369,41.24038417,12.67627241,91.40002673,92.90395466
CCCHF5,XGCHF1,59.81405123,21.18768735,34.66539971,101.8312005,179.1074327
CCCHF5,XGCHF3,60.85474483,19.27940657,34.66539971,101.8312005,213.8342113
CCCHF5,XGCHF4,61.23030357,10.55361838,34.66539971,101.8312005,181.7258384
CCCHF5,XGCSF1,60.72468535,13.69690437,34.44545085,101.8312005,104.5083431
CCCHF5,XGCSF2,60.59451771,9.834326807,34.44545085,101.8312005,92.26089539
CCCHF5,XGCSF3,60.22430086,11.6624005,34.44545085,101.8312005,92.16189774
CCCHF5,XGMEF1,61.09464596,9.907421287,36.2446224,101.8312005,123.1783849
CCCHF5,XGMEF2,60.53246523,10.21930718,36.2446224,101.8312005,110.3905131
CCCHF5,XGMEF3,60.58876636,11.86268213,36.2446224,101.8312005,91.77719353
CCCHF5,YSCHF1,12.60132212,46.71909002,38.73616893,83.03735115,109.0012364
CCCHF5,YSCHF4,7.005094614,32.87919347,38.73616893,83.03735115,111.9001577
CCCHF5,YSCHF5,41.65764055,22.7386585,38.73616893,83.03735115,112.1737079
CCCHF5,YSCSF1,22.07250079,15.64218278,33.85679581,77.00725583,119.0657585
CCCHF5,YSCSF3,20.47527989,18.73277854,33.85679581,77.00725583,121.9552842
CCCHF5,YSCSF5,22.63192086,10.20428593,33.85679581,77.00725583,123.5599368
CCCHF5,YSMEF1,27.61267665,9.296831,38.73616893,77.00725583,102.1076119
CCCHF5,YSMEF3,24.30684374,7.979425585,38.73616893,77.00725583,102.0664387
CCCHF5,YSMEF4,24.37397603,12.59442403,38.73616893,77.00725583,107.7753431
CCCSF1,CCCHF2,82.22510352,46.65288744,0,0,46.69423025
CCCSF1,CCCHF3,82.1642052,73.73018023,0,0,30.64299056
CCCSF1,CCCHF5,61.5705396,65.16201319,0,0,33.23489599
CCCSF1,CCCSF1,0,0,0,0,0
CCCSF1,CCCSF3,83.43032888,70.02664269,0,0,16.73200372
CCCSF1,CCCSF4,83.65890213,66.69728628,0,0,50.18508869
CCCSF1,CCMEF1,72.27074419,57.77668718,0,0,25.13089884
CCCSF1,CCMEF4,74.62567179,69.84643297,0,0,29.63289876
CCCSF1,CCMEF5,58.82189611,45.73347644,0,0,18.22958588
CCCSF1,HDCHF2,9.068877262,61.81330493,73.55307958,29.76084727,137.483837
CCCSF1,HDCHF4,14.26353888,59.04970486,73.55307958,29.76084727,160.5213088
CCCSF1,HDCHF5,12.42115326,60.57051108,73.55307958,29.76084727,129.9669213
