"","K","Hotrienol","pH","cis_3_Hexenal","Nerol_oxide","beta_Ionone","trans_2_Octenal","p_Cymene","trans_2_Pentenal","trans_2_Hexenal"
"HSPCHF3",451.987840157158,1508.63493211928,503.725299643667,386.292871630196,2427.73665048498,1296.61342174092,1001.81251783674,664.992896125894,540.142836110814,610.363542593374
"HSPCSF2",446.658937432905,418.173003605906,521.541950113379,547.135597215149,302.520465585278,476.319872949254,765.374480814959,807.274729073239,608.838677195243,529.247390675407
"HSPCSF3",427.281109344709,609.058418684435,521.541950113379,391.800564367314,442.832723987239,791.77730990616,836.985073039418,630.231351403887,587.845973868551,503.733620244212
"HSPCSF5",372.538744995557,496.861520647282,521.541950113379,372.024569328469,372.676597235984,860.383946870417,703.863116193419,718.753040238563,575.774045681804,484.912507792221
"HSPMEF3",430.187783557939,711.026879390428,529.640427599611,302.140564102061,516.349614974812,555.571093221144,635.085931214371,625.709982526138,517.600739002522,657.626827622016
"HSPMEF4",449.565611646134,612.793305282718,532.879818594104,331.089033530438,1036.40628253688,524.539184003436,651.615883045883,533.039243561226,529.885465442649,451.43542634968
"HSPMEF5",452.472285859363,661.910092336573,542.597991577583,273.192094563751,776.377948755844,586.603181375501,618.555978899548,718.380721491051,505.316012780854,385.69053341211
"SSBCHF1",518.841347061433,248.142689750385,555.555555555556,1006.23660485684,260.051253416365,332.713908339452,690.659152976674,252.198648488261,538.254777991101,586.298704209138
"SSBCHF3",533.859163829784,367.304227362594,550.696469063816,911.539766047107,307.315294452255,410.292786700484,666.579905364343,265.250141226107,664.510680530572,754.634414237231
"SSBCHF4",533.859163829784,307.723458556489,558.794946550049,789.708438224058,283.68327393431,484.23066215095,496.975659381998,258.724394857184,506.405691868743,608.764611076001
"SSBCSF1",449.412427977314,244.682544300658,563.654033041788,1149.1282265056,221.828175612391,173.493395027827,844.20843066072,447.151355044458,879.445771277345,870.254121864207
"SSBCSF3",468.426417626213,380.149220006266,563.654033041788,743.308133803497,223.114600163717,253.432447774074,963.122279995776,473.347585466002,799.952984644951,582.88308962225
"SSBCSF4",514.602800328057,326.389612025259,565.273728539035,707.015782551763,220.541746161612,252.666956794547,603.210668681356,414.495520728092,658.179135987885,624.74409170238
"SSBMEF2",613.79270469359,197.315450399417,568.513119533528,1145.36828382095,133.583566930851,241.627281368449,376.069545634135,432.850815538196,788.776089777783,694.132247627573
"SSBMEF4",590.054865285551,168.054487964373,566.893424036281,1184.90255370546,72.9958832874297,274.563255455989,329.444649317732,563.525091452145,744.580211240111,776.343230111397
"SSBMEF5",593.93043090319,138.793525529329,566.893424036281,1165.13541931287,103.289722659414,258.095178943895,352.757097475933,498.187953495171,766.678150399717,735.237738869485
"XGCHF1",574.552602814995,1660.85505917818,547.457078069323,460.133645825778,1374.99166152098,649.163549008717,569.711266177376,604.52374316315,432.806668455175,769.67619499837
"XGCHF3",540.641403660652,1482.50222128453,557.175251052802,456.646344786841,1452.81185367662,616.940995336177,395.008034243575,594.227292503499,456.402373433263,697.445986801174
"XGCHF4",619.121607417844,1733.8166342661,537.738905085844,468.780209198855,1870.84004974746,681.385923744609,436.374953661452,756.017655708856,505.71515139562,718.801646502512
"XGCSF1",585.274789159542,304.252552761124,599.287333981212,428.019049050367,319.572733066161,176.986417330616,524.872604602132,836.151887783656,423.663225482337,559.654066988674
"XGCSF2",557.114095166277,309.110103466657,563.654033041788,380.46125917037,284.63612911147,143.268311155299,692.160151109305,740.622207451425,498.318355509568,517.099276505316
"XGCSF3",564.65642642834,299.39500067659,571.752510528021,318.918817822437,354.509337020852,122.006700783802,577.508828176511,931.681568115886,430.191470408307,469.387428430425
"XGMEF1",634.527709838741,419.149652180938,621.963070942663,683.021807901242,496.813198065935,80.8795437673762,514.407206583669,507.488534134715,853.315833626905,551.560003763013
"XGMEF2",625.417314554423,690.906394121154,631.681243926142,545.994499224152,436.037669442042,101.149129363162,509.200236392878,610.481504159237,848.834652610625,428.13002169378
"XGMEF3",614.434506595448,687.013235428813,617.103984450923,650.640812717858,557.588726689829,86.0141308775925,433.238536529483,803.183266834915,802.891087991077,489.367841054914
"YSCHF1",572.614820006175,157.133685894398,523.161645610625,295.421683793151,228.669975826828,937.560933520365,402.574649956725,301.60594899229,267.380845458737,533.621170564399
"YSCHF4",527.561369701121,193.665773658539,519.922254616132,374.623252094269,293.396314561932,1005.01468166249,507.834122622187,488.296717839991,271.566910580595,558.476318686659
"YSCHF5",549.36142630034,230.197858664677,523.161645610625,321.723455647015,358.122653297036,955.802987959299,414.791799444444,358.16005853211,247.644385939495,523.407342983004
"YSCSF1",395.307692999187,321.173032865506,550.696469063816,279.486749556139,322.986945421728,547.436454272981,395.025487086426,677.67996366252,345.356323727496,417.835579782029
"YSCSF3",469.427885436534,346.464623354027,544.21768707483,221.298754520018,306.349196056988,479.761719370756,501.05298149949,728.734565620293,313.860834111538,356.712955074624
"YSCSF5",399.183258616826,348.3114271436,542.597991577583,210.177091860097,267.281354780579,351.609260479707,448.039234534613,545.565446068248,369.907807192041,346.083283042091
"YSMEF1",532.386788491519,294.967910682622,549.076773566569,812.640873592982,223.946982721555,497.339382036203,311.441058138315,498.966848203412,961.224270646395,462.531086634188
"YSMEF3",491.63553430287,320.618395862256,540.978296080337,576.268960737663,202.309622104631,317.971317922629,220.039781632978,502.7877523378,677.764986003375,354.623572147189
"YSMEF4",563.426500661765,269.317426881989,542.597991577583,670.86226663358,245.584338439027,452.361508357925,226.853864748858,370.362159027591,589.977616260366,414.005853345103
