Taxa,CCCHF2,CCCHF3,CCCHF5,CCCSF1,CCCSF3,CCCSF4,CCMEF1,CCMEF4,CCMEF5,HDCHF2,HDCHF4,HDCHF5,HDCSF1,HDCSF2,HDCSF4,HDMEF2,HDMEF3,HDMEF5,HSPCHF1,HSPCHF2,HSPCHF3,HSPCSF2,HSPCSF3,HSPCSF5,HSPMEF3,HSPMEF4,HSPMEF5,SSBCHF1,SSBCHF3,SSBCHF4,SSBCSF1,SSBCSF3,SSBCSF4,SSBMEF2,SSBMEF4,SSBMEF5,XGCHF1,XGCHF3,XGCHF4,XGCSF1,XGCSF2,XGCSF3,XGMEF1,XGMEF2,XGMEF3,YSCHF1,YSCHF4,YSCHF5,YSCSF1,YSCSF3,YSCSF5,YSMEF1,YSMEF3,YSMEF4
p__Firmicutes_c__Clostridia_o__Clostridiales_f__Family_XI,0.000164082,0.000574288,0.000451227,0.000369185,0.000615309,0.000533268,0.000533268,0.000205103,0.000164082,0,0,0,0,0,0,4.10E-05,0,4.10E-05,0,0,0,0,4.10E-05,0,0,4.10E-05,0,0.000451227,0.000410206,0.002215112,0.000369185,0.000410206,0.00069735,0.000287144,0.000246124,0.000328165,0.000287144,0.000615309,0.000410206,0.001763885,0.001517762,0.001312659,0.000574288,0.000369185,0.000738371,0.000205103,0,0,0,0,4.10E-05,0,0,0
p__Proteobacteria_c__Deltaproteobacteria_o__Myxococcales_f__P3OB_42,0,4.10E-05,0,0,4.10E-05,8.20E-05,0,0,0,0,0.000123062,0.000287144,0,0,0,0.000615309,0.000123062,0.000738371,0.001312659,0.001066535,0.002010009,0.000533268,4.10E-05,0.001886947,0.001148577,0.000861432,0.000902453,0,0,0,0,8.20E-05,0.000164082,0,0,8.20E-05,4.10E-05,4.10E-05,4.10E-05,8.20E-05,0.000205103,0,0.000287144,0.000123062,0,0,0,0.000123062,0.000779391,0.000656329,0.000533268,0.000451227,0.000328165,0.000779391
p__Chloroflexi_c__SHA_26_o___f__,0,0,0,0,0,0,0,0,0,0,4.10E-05,8.20E-05,0,0,0,0.000615309,0,0.000902453,0.001107556,0.000943474,0.001886947,0.000943474,8.20E-05,0.000246124,0.000738371,0.000369185,0.00135368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000205103,0.001804906,0.000656329,0.001517762,0.000902453,0.001025515,0.001148577
p__Epsilonbacteraeota_c__Campylobacteria_o__Campylobacterales_f__Arcobacteraceae,0,0,0,0,0,0,0,8.20E-05,4.10E-05,0,4.10E-05,0,0,0,0,4.10E-05,4.10E-05,4.10E-05,0.000164082,0,8.20E-05,0,0,8.20E-05,4.10E-05,0,0,0,0,0.000861432,0,0,0,0,4.10E-05,4.10E-05,0,4.10E-05,0,0.005947986,0.004307162,0.004102059,0,0,0,0,0.000246124,8.20E-05,0,0,0,0,0,0
p__Actinobacteria_c__Actinobacteria_o__Streptosporangiales_f__Nocardiopsaceae,0.000574288,0.0013947,0.000205103,0.000779391,0.000574288,0.000779391,0.000902453,0.000574288,0.000861432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000123062,0.000779391,0.000615309,0,0.000820412,0.000410206,0.000533268,0.00069735,0.000615309,0.000492247,0.000656329,0.000533268,0.000533268,0.000615309,0.000492247,0.000369185,0.000246124,0.000533268,0.000451227,0,0,0,0,4.10E-05,0,0,0,0
p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Methyloligellaceae,0.000328165,0.000164082,0.000164082,0.000410206,0.000123062,0.000574288,0.000246124,0.000287144,0.000287144,8.20E-05,0,0,0,0,0,0,0.000492247,4.10E-05,0.000287144,0.000410206,0,0.000123062,0.000574288,8.20E-05,0.000123062,0.000410206,0.000492247,0.000943474,0.000328165,0.000492247,0.000779391,0.000123062,0.000369185,0.000615309,0.000246124,0.000369185,0.000820412,0.000369185,0.000574288,0.000451227,0,0.000615309,0.000451227,0.000369185,0.000738371,4.10E-05,4.10E-05,0.000164082,0.000328165,0.000287144,0.000328165,4.10E-05,0.000328165,0.000287144
p__Proteobacteria_c__Alphaproteobacteria_o__Rickettsiales_f__Anaplasmataceae,0.000246124,0.000615309,0.000492247,0.000820412,0.000943474,0.000902453,0.000246124,0.000287144,0.000492247,0,0,0,0,0,0,0.000820412,0,0.000123062,0.000123062,0,0,0,0,0,0,0,0,0.000451227,0.000287144,0,0.000205103,0.001066535,0.000492247,0.000287144,0.000615309,0.000984494,0.000574288,0.000451227,0.000369185,0.000656329,0.000164082,0.000902453,0.00069735,0.000902453,0.000287144,0.000164082,8.20E-05,8.20E-05,0.000246124,8.20E-05,0,0,0,0
p__Bacteroidetes_c__Bacteroidia_o__Cytophagales_f__Cyclobacteriaceae,0,0,0,4.10E-05,4.10E-05,0,0,8.20E-05,0,0,0.000246124,0.00069735,0,0,4.10E-05,0.000574288,0.000246124,0.000943474,0.001066535,0.001066535,0.000533268,0.000943474,0.000533268,0.001558783,0.000410206,0.000738371,0.000615309,8.20E-05,0.000123062,0,8.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001558783,0,0.000123062,0.000287144,0.000943474,0.000738371,0.000615309,0.000820412,0.000287144
p__Acidobacteria_c__Blastocatellia_Subgroup_4_o__11_24_f__,0.000779391,0.000164082,0.000164082,0.000451227,0.00069735,0.000287144,0.000533268,0.000533268,0.000246124,0,0,8.20E-05,0.000369185,0,8.20E-05,8.20E-05,4.10E-05,0,0,0,0,0,0,0,0,0.000164082,0.000164082,0.000123062,8.20E-05,0,0.000574288,0.001025515,0.000246124,0.000369185,0.000369185,0.000410206,0.000656329,0.000205103,0.001025515,0.000410206,0.001189597,0.000328165,0.000369185,0.000287144,0.000820412,0,4.10E-05,0,0,0,0.000328165,0.000820412,0.000205103,0.000820412
p__Acidobacteria_c__Subgroup_11_o___f__,0.000328165,0.000820412,0.000451227,0.000533268,0.000328165,0.000287144,0.000369185,0.000328165,0.000369185,0,0,0,4.10E-05,8.20E-05,4.10E-05,8.20E-05,0.000123062,0,4.10E-05,0,4.10E-05,8.20E-05,0,8.20E-05,0,0,0,0.000123062,0.000369185,0,0.000451227,0.000492247,0.000779391,0.001107556,0.000943474,0.00069735,0.000492247,0.000820412,0.000820412,0.000492247,0.000246124,0.000328165,0.000984494,0.000615309,0.000492247,0,0,0,0,0,0,0.000205103,4.10E-05,0.000451227
