Domain,Phylum ,Class,Order,Family
OTU241,p__Proteobacteria,c__Gammaproteobacteria,o__Acidiferrobacterales,f__Acidiferrobacteraceae
OTU242,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Cellvibrionaceae
OTU243,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhodomicrobiaceae
OTU244,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__A0839
OTU245,p__Planctomycetes,c__,o__,f__
OTU246,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Pseudohongiellaceae
OTU247,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__bacteriap25
OTU248,p__Proteobacteria,c__Deltaproteobacteria,o__SAR324_cladeMarine_group_B,f__bacterium_enrichment_culture_clone_B302011
OTU249,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae
OTU250,p__Actinobacteria,c__Actinobacteria,o__Frankiales,f__Acidothermaceae
OTU251,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Woeseiaceae
OTU252,p__Proteobacteria,c__Alphaproteobacteria,o__SAR11_clade,f__Clade_I
OTU253,p__Bacteroidetes,c__Ignavibacteria,o__SJA-28,f__
OTU254,p__Actinobacteria,c__,o__,f__
OTU255,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__
OTU256,p__Verrucomicrobia,c__Verrucomicrobiae,o__Chthoniobacterales,f__Terrimicrobiaceae
OTU257,p__Proteobacteria,c__Gammaproteobacteria,o__Nitrosococcales,f__Nitrosococcaceae
OTU258,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__anaerobic_bacterium_MO-CFX2
OTU259,p__Acidobacteria,c__Subgroup_6,o__Acidobacteria_bacterium_IGE-010,f__
OTU260,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Sanguibacteraceae
OTU261,p__WPS-2,c__,o__,f__
OTU262,p__Actinobacteria,c__Actinobacteria,o__Streptosporangiales,f__Streptosporangiaceae
OTU263,p__Cyanobacteria,c__Oxyphotobacteria,o__Nostocales,f__Phormidiaceae
OTU264,p__Acidobacteria,c__Subgroup_9,o__,f__
OTU265,p__Actinobacteria,c__Actinobacteria,o__Frankiales,f__Sporichthyaceae
OTU266,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__B1-7BS
OTU267,p__Acidobacteria,c__Acidobacteriia,o__Subgroup_2,f__
OTU268,p__Verrucomicrobia,c__Verrucomicrobiae,o__UA11,f__
OTU269,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae
OTU270,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae
OTU271,p__Proteobacteria,c__Alphaproteobacteria,o__Thalassobaculales,f__
OTU272,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae
OTU273,p__Cyanobacteria,c__Melainabacteria,o__Obscuribacterales,f__
OTU274,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodovibrionales,f__Fodinicurvataceae
OTU275,p__Actinobacteria,c__Actinobacteria,o__Frankiales,f__Nakamurellaceae
OTU276,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Cytophagaceae
OTU277,p__Proteobacteria,c__Alphaproteobacteria,o__Micavibrionales,f__
OTU278,p__Acidobacteria,c__Blastocatellia_Subgroup_4,o__11-24,f__uncultivated_soil_bacterium_clone_S111
OTU279,p__Armatimonadetes,c__Armatimonadia,o__Armatimonadales,f__
OTU280,p__Actinobacteria,c__0319-7L14,o__,f__
OTU281,p__Actinobacteria,c__Actinobacteria,o__,f__
OTU282,p__Verrucomicrobia,c__Verrucomicrobiae,o__Methylacidiphilales,f__Methylacidiphilaceae
