"Taxa","CCCHF2","CCCHF3","CCCHF5","CCCSF1","CCCSF3","CCCSF4","CCMEF1","CCMEF4","CCMEF5","HDCHF2","HDCHF4","HDCHF5","HDCSF1","HDCSF2","HDCSF4","HDMEF2","HDMEF3","HDMEF5","HSPCHF1","HSPCHF2","HSPCHF3","HSPCSF2","HSPCSF3","HSPCSF5","HSPMEF3","HSPMEF4","HSPMEF5","SSBCHF1","SSBCHF3","SSBCHF4","SSBCSF1","SSBCSF3","SSBCSF4","SSBMEF2","SSBMEF4","SSBMEF5","XGCHF1","XGCHF3","XGCHF4","XGCSF1","XGCSF2","XGCSF3","XGMEF1","XGMEF2","XGMEF3","YSCHF1","YSCHF4","YSCHF5","YSCSF1","YSCSF3","YSCSF5","YSMEF1","YSMEF3","YSMEF4"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium",0.00012306177701206,0,0,4.10205923373534e-05,4.10205923373534e-05,0,0,0.000205102961686767,0,0,0,0,0.000533267700385594,0,8.20411846747067e-05,4.10205923373534e-05,0,4.10205923373534e-05,0,0.00012306177701206,0.00012306177701206,0,0,0,0,0.000205102961686767,0.000164082369349413,0.000164082369349413,0,0,4.10205923373534e-05,8.20411846747067e-05,8.20411846747067e-05,0,0,0,0,0,0.000164082369349413,0,0,4.10205923373534e-05,0.000451226515710887,0,4.10205923373534e-05,0,0,0,4.10205923373534e-05,0,0,0,0,0.00036918533103618
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nitrosococcales|f__Nitrosococcaceae|g__SZB85",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00024612355402412,0,8.20411846747067e-05,0,0.000287144146361473,4.10205923373534e-05,0,4.10205923373534e-05,8.20411846747067e-05,0.000328164738698827,0,0.000451226515710887,4.10205923373534e-05,0.000328164738698827,0,0,0,0,0,0,0,0,0.00024612355402412,0,0,0,0,0,0,0,0.000164082369349413,0,0,0,4.10205923373534e-05,4.10205923373534e-05,0.000164082369349413,0,0.000328164738698827,4.10205923373534e-05,0.000164082369349413
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Marmoricola",0.00012306177701206,0,4.10205923373534e-05,0,0,0,4.10205923373534e-05,4.10205923373534e-05,0.00012306177701206,0,0,0,0.00012306177701206,0.00012306177701206,0,4.10205923373534e-05,0,0,0,0,0.000164082369349413,0,0,0,4.10205923373534e-05,8.20411846747067e-05,0.00036918533103618,4.10205923373534e-05,8.20411846747067e-05,0.000451226515710887,0,4.10205923373534e-05,0,4.10205923373534e-05,0,4.10205923373534e-05,0,4.10205923373534e-05,0.00024612355402412,0,0,0.00024612355402412,0,0.000164082369349413,8.20411846747067e-05,0,0,4.10205923373534e-05,0,8.20411846747067e-05,0.00012306177701206,0,0,8.20411846747067e-05
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella_1",0,8.20411846747067e-05,0.000164082369349413,4.10205923373534e-05,0.000164082369349413,8.20411846747067e-05,8.20411846747067e-05,4.10205923373534e-05,4.10205923373534e-05,0,4.10205923373534e-05,0,0.00012306177701206,8.20411846747067e-05,0,0.00012306177701206,0,0,8.20411846747067e-05,0.000205102961686767,0,0,0.00024612355402412,0.000164082369349413,0,0,0.00012306177701206,4.10205923373534e-05,4.10205923373534e-05,0,0,0,0,4.10205923373534e-05,0.00024612355402412,8.20411846747067e-05,4.10205923373534e-05,8.20411846747067e-05,4.10205923373534e-05,0.000205102961686767,4.10205923373534e-05,0,0.000205102961686767,0,0.00012306177701206,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_UCG-002",0,0.00012306177701206,4.10205923373534e-05,0,0,8.20411846747067e-05,0,8.20411846747067e-05,0.000164082369349413,0,4.10205923373534e-05,0,0.000410205923373534,0,4.10205923373534e-05,0,8.20411846747067e-05,4.10205923373534e-05,0,0,8.20411846747067e-05,0,8.20411846747067e-05,0,0.00024612355402412,0,4.10205923373534e-05,0,0.00012306177701206,0.00024612355402412,0,8.20411846747067e-05,0,0,0.00024612355402412,0,4.10205923373534e-05,8.20411846747067e-05,0,0,4.10205923373534e-05,0,8.20411846747067e-05,0,0,0.000410205923373534,0,8.20411846747067e-05,0,0,0,0,0,8.20411846747067e-05
"k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__SBR1031|f__anaerobic_bacterium_MO-CFX2|g__",0,0,0,4.10205923373534e-05,4.10205923373534e-05,8.20411846747067e-05,8.20411846747067e-05,0,0,0,0,0,0,0,0,0,8.20411846747067e-05,0,0,0,0,0,0.000205102961686767,4.10205923373534e-05,0,0,0,0,0,0.000656329477397654,0.000164082369349413,0,0,0,0,4.10205923373534e-05,0,4.10205923373534e-05,0,0,0,0,4.10205923373534e-05,0.00024612355402412,8.20411846747067e-05,0,0.000205102961686767,0,0.00036918533103618,8.20411846747067e-05,0.000164082369349413,0,0,0.00036918533103618
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Cereibacter",0,0,0,0,0,0,0,0,0,0,0,0,0.000205102961686767,0,0,0,0,8.20411846747067e-05,0,0,0,0,0,0,0,0,4.10205923373534e-05,0,0,0.00036918533103618,0,0,0,0,0,0,0,0,0,4.10205923373534e-05,8.20411846747067e-05,8.20411846747067e-05,0,0,0,0.000943473623759127,0.000902453031421774,0,0,0,0.00024612355402412,4.10205923373534e-05,0,0
"k__Bacteria|p__Acidobacteria|c__Subgroup_6|o__Acidobacteria_bacterium_IGE-010|f__|g__",0.000164082369349413,0.00012306177701206,0,0,0,0,0.00012306177701206,0,0,4.10205923373534e-05,0,0,4.10205923373534e-05,0.00012306177701206,0,0,4.10205923373534e-05,0,4.10205923373534e-05,0,0.00024612355402412,0,0,0,0.000164082369349413,0.00012306177701206,0.000410205923373534,0.00012306177701206,0,0,0,0,0,0,8.20411846747067e-05,0,0,0,0,8.20411846747067e-05,0,0,4.10205923373534e-05,0,4.10205923373534e-05,0,0,4.10205923373534e-05,0.000328164738698827,0,0,0.00024612355402412,8.20411846747067e-05,0.000287144146361473
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Sanguibacteraceae|g__Sanguibacter",0,0,0,0,0,8.20411846747067e-05,0,0.000451226515710887,0,0,0,0.000410205923373534,8.20411846747067e-05,8.20411846747067e-05,0,4.10205923373534e-05,4.10205923373534e-05,0,0,0,0.00049224710804824,0,0,0,0.000205102961686767,0,8.20411846747067e-05,4.10205923373534e-05,0.000205102961686767,8.20411846747067e-05,0,4.10205923373534e-05,4.10205923373534e-05,8.20411846747067e-05,0,4.10205923373534e-05,4.10205923373534e-05,0,8.20411846747067e-05,0,0,0,0,0,0,0,0,8.20411846747067e-05,0.00012306177701206,8.20411846747067e-05,0,0,0,8.20411846747067e-05
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae|g__Tahibacter",0,8.20411846747067e-05,0,4.10205923373534e-05,0.00012306177701206,0,0.000164082369349413,4.10205923373534e-05,0,0,0,0,0,0,0,0,0.00049224710804824,0,0,4.10205923373534e-05,0,8.20411846747067e-05,0,0,0,4.10205923373534e-05,0.00036918533103618,4.10205923373534e-05,8.20411846747067e-05,0,4.10205923373534e-05,4.10205923373534e-05,0,0,4.10205923373534e-05,0,0.00036918533103618,0,4.10205923373534e-05,0.000205102961686767,0.000328164738698827,8.20411846747067e-05,0,0.000205102961686767,4.10205923373534e-05,0,0,0,0,0,0,0,0,0
