"","CCCHF2","CCCHF3","CCCHF5","CCCSF1","CCCSF3","CCCSF4","CCMEF1","CCMEF4","CCMEF5","HDCHF2","HDCHF4","HDCHF5","HDCSF1","HDCSF2","HDCSF4","HDMEF2","HDMEF3","HDMEF5","HSPCHF1","HSPCHF2","HSPCHF3","HSPCSF2","HSPCSF3","HSPCSF5","HSPMEF3","HSPMEF4","HSPMEF5","SSBCHF1","SSBCHF3","SSBCHF4","SSBCSF1","SSBCSF3","SSBCSF4","SSBMEF2","SSBMEF4","SSBMEF5","XGCHF1","XGCHF3","XGCHF4","XGCSF1","XGCSF2","XGCSF3","XGMEF1","XGMEF2","XGMEF3","YSCHF1","YSCHF4","YSCHF5","YSCSF1","YSCSF3","YSCSF5","YSMEF1","YSMEF3","YSMEF4"
"HDCHF4",0.642159678345778,0.660839160839161,0.660343805572021,0.639794168096055,0.649232518476407,0.639046538024972,0.654370034052213,0.660160734787601,0.658956109134045,0.609310058187864,0,0.48,0.614925373134328,0.662659654395192,0.764342453662842,0.439393939393939,0.502112676056338,0.460665658093797,0.467717717717718,0.470992366412214,0.467268623024831,0.503486750348675,0.466715435259693,0.489500362056481,0.495557074504443,0.500350385423966,0.495989304812834,0.654897494305239,0.657207718501703,0.714404662781016,0.657565415244596,0.652873563218391,0.651749856569134,0.661494252873563,0.643433179723502,0.661476355247982,0.661056297156123,0.660092807424594,0.640599001663893,0.67144495412844,0.65661252900232,0.663406214039125,0.645429362880886,0.642857142857143,0.649083842309828,0.755516328331862,0.741056218057922,0.494470774091627,0.505537459283388,0.483115093039283,0.490857946554149,0.532077692760447,0.514285714285714,0.519798868636078
"HDCHF5",0.6487747957993,0.666271487848251,0.685680332739156,0.651821862348178,0.662068965517241,0.65097588978186,0.668004587155963,0.67093023255814,0.670072115384615,0.593073593073593,0.48,0,0.63030303030303,0.639434406912804,0.753917050691244,0.467631378522468,0.5234375,0.485518292682927,0.494712990936556,0.505351681957186,0.503386004514673,0.507823613086771,0.488560885608856,0.493717664449372,0.513121546961326,0.50997150997151,0.5,0.658550724637681,0.668581275129236,0.718080548414739,0.681118083285796,0.66433973240256,0.665507246376812,0.66997084548105,0.672612197928654,0.678488372093023,0.671957671957672,0.678738317757009,0.646959459459459,0.682346109175377,0.682926829268293,0.681923522595597,0.654882154882155,0.654627539503386,0.662366797532249,0.765185856754307,0.736749116607774,0.5136,0.503664223850766,0.505898681471201,0.509943181818182,0.550947867298578,0.537332482450542,0.528698979591837
"HDCSF1",0.577831617201696,0.60257195345989,0.588679245283019,0.589253731343284,0.573155985489722,0.585510688836104,0.586434573829532,0.578786020846107,0.59159347553325,0.596951735817104,0.614925373134328,0.63030303030303,0,0.570502431118314,0.698024459078081,0.59228650137741,0.592666666666667,0.606625258799172,0.605371900826446,0.616295264623955,0.604281767955801,0.643312101910828,0.570446735395189,0.59375,0.602941176470588,0.608125819134993,0.581587301587302,0.583333333333333,0.586891160553217,0.609645131938126,0.595566207309766,0.577886377519853,0.586311326468807,0.593065693430657,0.58328285887341,0.597931873479319,0.596200980392157,0.589175891758918,0.585946573751452,0.609667673716012,0.606060606060606,0.602665051483949,0.594328703703704,0.594531704479349,0.589848308051342,0.688617121354657,0.678119349005425,0.62844702467344,0.584213797389683,0.601152368758003,0.606932635709614,0.589641434262948,0.59066100667071,0.594350961538462
"HDCSF2",0.630500301386377,0.63151364764268,0.625237793278377,0.623947051744886,0.619939577039275,0.616676664667067,0.61543134872418,0.621156211562116,0.649439601494396,0.627604166666667,0.662659654395192,0.639434406912804,0.570502431118314,0,0.706231454005935,0.616033755274262,0.625,0.644103279832519,0.632280701754386,0.651376146788991,0.631245601688951,0.65134602757715,0.617931034482759,0.632373113854595,0.636716224951519,0.640106241699867,0.623724489795918,0.62173649058895,0.623486682808717,0.650557620817844,0.637019230769231,0.625152625152625,0.618115055079559,0.634310134310134,0.626820388349515,0.63836285888821,0.627633209417596,0.63423645320197,0.605791962174941,0.63914373088685,0.643075045759609,0.63714111178986,0.619131455399061,0.627565982404692,0.623750734861846,0.701477832512315,0.674952198852772,0.671062271062271,0.600127145581691,0.637596899224806,0.624246483590087,0.629777524244153,0.626756261453879,0.618437118437118
"HDCSF4",0.763398692810458,0.75358361774744,0.762629757785467,0.749508196721312,0.753110674525213,0.756617172369271,0.759634225996081,0.759493670886076,0.768754301445286,0.688864628820961,0.764342453662842,0.753917050691244,0.698024459078081,0.706231454005935,0,0.761310452418097,0.755639097744361,0.737479806138934,0.756735340729002,0.763327948303716,0.757936507936508,0.788712011577424,0.753645433614735,0.75462962962963,0.77462792345854,0.782481751824817,0.768698060941828,0.754119973632169,0.758032786885246,0.723809523809524,0.765206017004578,0.765171503957784,0.759577278731836,0.756195579370395,0.757915567282322,0.765687583444593,0.759296822177147,0.759784075573549,0.759247648902821,0.7642330877428,0.769025367156208,0.759383378016086,0.773772529521442,0.7571337983513,0.759645793801392,0.742627345844504,0.7425,0.753043478260869,0.758009543285617,0.77027027027027,0.762749445676275,0.78119349005425,0.775884665792923,0.778066190785204
"HDMEF2",0.583009439200444,0.608062709966405,0.617730095990966,0.590334980779791,0.596606458675424,0.586112629852378,0.600874794969929,0.608935466078323,0.627242152466368,0.613263785394933,0.439393939393939,0.467631378522468,0.59228650137741,0.616033755274262,0.761310452418097,0,0.453573814295257,0.425637393767705,0.419148936170213,0.443892045454545,0.420865862313698,0.425101214574899,0.413888888888889,0.434962147281487,0.429322813938199,0.450066577896138,0.416883116883117,0.598901098901099,0.605133806663026,0.713224368499257,0.60688901038819,0.598006644518272,0.59234608985025,0.613223140495868,0.596578366445916,0.60920177383592,0.607700892857143,0.609905397885364,0.584227467811159,0.62964989059081,0.614277808522413,0.611940298507463,0.593482905982906,0.581483486735246,0.590860215053763,0.755451713395639,0.718461538461538,0.463683052090976,0.429113924050633,0.426218708827404,0.437751004016064,0.458620689655172,0.436611008039579,0.444648318042813
"HDMEF3",0.525337837837838,0.558441558441558,0.572644721906924,0.539911308203991,0.538333333333333,0.531820697288323,0.551571980143409,0.551203133743705,0.574504249291785,0.617921146953405,0.502112676056338,0.5234375,0.592666666666667,0.625,0.755639097744361,0.453573814295257,0,0.44640434192673,0.474418604651163,0.471225457007448,0.469959946595461,0.459910198845414,0.4543063773833,0.470934030045722,0.472636815920398,0.489911727616646,0.420554854981084,0.549334811529933,0.552733296521259,0.702956020187455,0.552850027670172,0.556111111111111,0.544692737430168,0.558839933073062,0.551609322974473,0.554433221099888,0.561482313307131,0.553299492385787,0.529347826086957,0.567130919220056,0.562080536912752,0.56298773690078,0.540540540540541,0.532495903877662,0.535149863760218,0.758389261744966,0.732260424286759,0.496172581767571,0.440024479804162,0.438652256834075,0.470700636942675,0.458216489063376,0.456276026174896,0.476357267950963
"HDMEF5",0.592200557103064,0.614301801801802,0.622512791358727,0.606359649122807,0.606476399560922,0.599781301257518,0.610745614035088,0.612006670372429,0.621944286526436,0.605922551252847,0.460665658093797,0.485518292682927,0.606625258799172,0.644103279832519,0.737479806138934,0.425637393767705,0.44640434192673,0,0.424588992137241,0.430434782608696,0.419540229885057,0.431385869565217,0.409154929577465,0.429469273743017,0.446780551905388,0.447066756574511,0.43514915693904,0.600332594235033,0.601990049751244,0.702887537993921,0.601441241685144,0.607222222222222,0.593732512590935,0.611699164345404,0.605758582502768,0.616926503340757,0.610798650168729,0.603613777526821,0.579347826086956,0.629076838032062,0.608866442199776,0.618888888888889,0.584915897992404,0.578082191780822,0.593716143011918,0.7643362136685,0.734772552043176,0.467407407407407,0.440989847715736,0.433399602385686,0.443020903573837,0.487763232783153,0.458743842364532,0.462759462759463
"HSPCHF1",0.602097130242826,0.612485939257593,0.636159460976979,0.608410704533042,0.603183315038419,0.601851851851852,0.620315046170559,0.624725274725275,0.634064080944351,0.634544106745738,0.467717717717718,0.494712990936556,0.605371900826446,0.632280701754386,0.756735340729002,0.419148936170213,0.474418604651163,0.424588992137241,0,0.424945612762872,0.422031473533619,0.404548587181254,0.409410112359551,0.419761737911703,0.428381962864721,0.447209145931406,0.444372990353698,0.613910186199343,0.604074889867841,0.719730941704036,0.620294599018003,0.616951018161805,0.600555555555556,0.621412803532009,0.607832322118036,0.623548922056385,0.612885154061625,0.621245828698554,0.589122240172321,0.62954796030871,0.62250554323725,0.624724061810154,0.595378828586781,0.593293672255273,0.598815293484114,0.758647798742138,0.726218097447796,0.449177877428998,0.443109987357775,0.426294820717131,0.428377460964019,0.455336426914153,0.435785536159601,0.442936458975941
"HSPCHF2",0.607700892857143,0.624575311438279,0.646092865232163,0.609418282548476,0.614917127071823,0.611964873765093,0.620727673649394,0.62750556792873,0.637037037037037,0.636432350718065,0.470992366412214,0.505351681957186,0.616295264623955,0.651376146788991,0.763327948303716,0.443892045454545,0.471225457007448,0.430434782608696,0.424945612762872,0,0.445878136200717,0.435051546391753,0.428369795342272,0.44311797752809,0.441176470588235,0.457201086956522,0.456902138690862,0.611142061281337,0.610461880912632,0.712528823981553,0.623756906077348,0.614221724524076,0.610862262038074,0.627997769102064,0.621951219512195,0.630932439977666,0.628796400449944,0.621682665160926,0.59291553133515,0.633928571428571,0.629131652661064,0.620573355817875,0.600760456273764,0.600218459858001,0.601200218221495,0.763242375601926,0.732072498029945,0.466114457831325,0.461294416243655,0.452554744525547,0.461486486486486,0.471170646476412,0.451754385964912,0.464484249536751
