CCCHF1,CCCHF2,CCCHF5,CCCSF1,CCCSF2,CCCSF5,CCMEF1,CCMEF2,CCMEF5,HDCHF2,HDCHF3,HDCHF5,HDCSF2,HDCSF4,HDCSF5,HDMEF2,HDMEF3,HDMEF5,HSPCHF2,HSPCHF3,HSPCHF5,HSPCSF1,HSPCSF2,HSPCSF4,HSPMEF3,HSPMEF4,HSPMEF5,SSBCHF3,SSBCHF4,SSBCHF5,SSBCSF1,SSBCSF3,SSBCSF4,SSBMEF2,SSBMEF3,SSBMEF4,XGCHF1,XGCHF2,XGCHF5,XGCSF1,XGCSF2,XGCSF4,XGMEF2,XGMEF3,XGMEF5,YSCHF2,YSCHF3,YSCHF5,YSCSF2,YSCSF3,YSCSF5,YSMEF1,YSMEF2,YSMEF4,
HDCHF3,0.282788849,0.58099835,0.588114209,0.58728018,0.398363885,0.426170745,0.30660302,0.440757369,0.19172005,0.695632886,0,0.624509787,0.218142779,0.306390077,0.334498607,0.270846273,0.246730431,0.199953862,0.113906979,0.135041613,0.103437262,0.146398595,0.132805707,0.166007134,0.122548933,0.122655404,0.105832875,0.17606871,0.211754476,0.172856813,0.158252444,0.115557291,0.147764981,0.297783614,0.455343992,0.375046581,0.151349529,0.191595833,0.110712828,0.134509254,0.097190922,0.125885046,0.103880894,0.121981084,0.124767093,0.404663461,0.36496726,0.296328501,0.1676397,0.207424627,0.108494668,0.099746242,0.085337072,0.140329707
HDCHF5,0.258353593,0.541869998,0.564069349,0.605948219,0.388018384,0.405976612,0.324880663,0.428051745,0.196600004,0.721718453,0.624509787,0,0.225790996,0.449612266,0.439390982,0.406189555,0.386066403,0.329423456,0.126151225,0.146132415,0.118183593,0.154863095,0.146096925,0.164729473,0.139619896,0.14268983,0.120845385,0.181871418,0.197522758,0.166681454,0.168633436,0.119195074,0.176849502,0.337107164,0.426312707,0.341064362,0.151331784,0.21572942,0.117172112,0.142814047,0.111546856,0.127606339,0.115805725,0.120029102,0.140045783,0.423650915,0.322609267,0.315830568,0.18261672,0.205561372,0.105708658,0.103455007,0.086348553,0.137277518
HDCSF2,0.166255568,0.224921477,0.429897255,0.149805689,0.159530105,0.302432878,0.146930953,0.154916331,0.131510301,0.214025873,0.218142779,0.225790996,0,0.2538108,0.257821234,0.261086366,0.271893244,0.253970507,0.107465441,0.116444555,0.095700318,0.138395471,0.124749348,0.153035331,0.126062499,0.134775433,0.110499885,0.157187727,0.221478892,0.15330151,0.151899633,0.123879829,0.154366227,0.226305609,0.279985094,0.361311731,0.128759782,0.178801484,0.102603233,0.120011357,0.086419534,0.114332866,0.090713893,0.105566696,0.115592781,0.274519546,0.282469434,0.244902667,0.1638777,0.166894398,0.094848544,0.093411176,0.07928593,0.1192838
HDCSF4,0.261317055,0.268929782,0.268503895,0.290596774,0.280144802,0.280322254,0.284652104,0.277802424,0.255904743,0.370166628,0.306390077,0.449612266,0.2538108,0,0.653523326,0.627916881,0.599879332,0.502830373,0.176476851,0.18547371,0.154419463,0.212286835,0.184888116,0.219828581,0.172448672,0.184125069,0.164232605,0.225755505,0.268024772,0.229411034,0.221319184,0.140684613,0.205366174,0.384664525,0.427998509,0.386013167,0.218976807,0.264937093,0.134970632,0.185349493,0.152804642,0.158394407,0.164623001,0.160896492,0.174631342,0.417919188,0.376980817,0.371781449,0.222898515,0.251290969,0.127783791,0.12579632,0.110570866,0.166681454
HDCSF5,0.295139567,0.268841055,0.269568612,0.27349032,0.276524764,0.280198037,0.296133303,0.255159441,0.256880734,0.326389012,0.334498607,0.439390982,0.257821234,0.653523326,0,0.628325023,0.606196653,0.538480649,0.202402711,0.217503948,0.194452824,0.240093695,0.225755505,0.235604138,0.21697159,0.2272816,0.197682466,0.251947545,0.283392189,0.265043565,0.253562366,0.183344276,0.240661544,0.450180115,0.47642539,0.467180097,0.241193903,0.302077973,0.164339077,0.222437137,0.178712757,0.183876635,0.193743013,0.187106277,0.206714816,0.413607084,0.389544479,0.377211506,0.254644828,0.299913048,0.166131351,0.159370397,0.139992547,0.196546768
HDMEF2,0.203822334,0.243926676,0.214611467,0.250474686,0.262896385,0.265433961,0.277128103,0.204265966,0.23698827,0.310418256,0.270846273,0.406189555,0.261086366,0.627916881,0.628325023,0,0.686707008,0.632228985,0.276223094,0.328074814,0.294553972,0.331819069,0.323283587,0.297552925,0.322289851,0.301811794,0.258992423,0.299966284,0.361329477,0.304526822,0.312033077,0.237059252,0.289248132,0.515127855,0.474721843,0.497418061,0.252195979,0.354320089,0.237999752,0.281688641,0.234858836,0.235781591,0.240626054,0.244867177,0.260837932,0.419569499,0.40989832,0.457473426,0.305538303,0.406384753,0.20884425,0.190087484,0.171082285,0.221745071
HDMEF3,0.275868188,0.225578053,0.210441325,0.237733572,0.2603943,0.246801413,0.27040264,0.204230476,0.270171952,0.287597821,0.246730431,0.386066403,0.271893244,0.599879332,0.606196653,0.686707008,0,0.63190957,0.291696982,0.321384842,0.283126009,0.343211542,0.305218888,0.333220947,0.340230334,0.342359768,0.299487161,0.325146842,0.374052845,0.333717814,0.346778344,0.272372367,0.328891097,0.479726013,0.436658208,0.453480737,0.294944369,0.409188508,0.258495555,0.305804482,0.250066545,0.267031037,0.269036254,0.276152113,0.302770039,0.423757386,0.43300268,0.460703068,0.330097777,0.398150941,0.222525864,0.210015438,0.192607315,0.245062375
HDMEF5,0.206626089,0.173868295,0.173052011,0.207886004,0.22197576,0.221851543,0.252746083,0.188543645,0.295423491,0.219349458,0.199953862,0.329423456,0.253970507,0.502830373,0.538480649,0.632228985,0.63190957,0,0.389331535,0.387929658,0.336876475,0.406668678,0.371639487,0.393235498,0.364931769,0.40274697,0.378293968,0.347133249,0.41245364,0.465600767,0.439302255,0.366901496,0.417262612,0.464660267,0.430500594,0.449079907,0.320515323,0.470001597,0.349741806,0.390183309,0.343282523,0.349156212,0.361897326,0.373041364,0.395506894,0.44647135,0.398843007,0.388249073,0.39307579,0.507373166,0.339396305,0.250882828,0.237715827,0.251131262
HSPCHF2,0.186272248,0.136532217,0.114155413,0.181321314,0.17794971,0.159938246,0.219225241,0.142494632,0.355686476,0.12553014,0.113906979,0.126151225,0.107465441,0.176476851,0.202402711,0.276223094,0.291696982,0.389331535,0,0.535925328,0.468741682,0.497134137,0.479726013,0.530654978,0.526378365,0.539438894,0.513104892,0.386687488,0.401025677,0.551842848,0.57945451,0.52730112,0.535783366,0.403279329,0.279239792,0.319734531,0.376892091,0.52199528,0.537167498,0.539616347,0.506645609,0.532819903,0.519865846,0.558302131,0.539740564,0.352616542,0.313665643,0.206022749,0.524053733,0.498340816,0.284421415,0.297322237,0.29535251,0.29407485
HSPCHF3,0.215001863,0.162777492,0.147339095,0.231487232,0.245239828,0.235142761,0.291217859,0.178109417,0.341490249,0.157879793,0.135041613,0.146132415,0.116444555,0.18547371,0.217503948,0.328074814,0.321384842,0.387929658,0.535925328,0,0.489592391,0.54634181,0.524160204,0.502794882,0.557130942,0.520735365,0.483665466,0.401380583,0.409756357,0.502173797,0.517062091,0.46615087,0.507994251,0.448529803,0.339626994,0.372952638,0.373165581,0.481748975,0.469859635,0.516742676,0.464181144,0.500931627,0.451457775,0.494277146,0.497258354,0.389278299,0.304473586,0.248416233,0.499813675,0.518801129,0.266161518,0.270136461,0.265043565,0.273348358
