,Brix,pH,Tartaric.acid,Malic.acid,Ca.g.kg.DW,K.g.kg.DW,Mg.g.kg.DW,P.g.kg.DW,S.g.kg,AC,cis_2_2_Pentenyl_furan,beta_Cyclocitral,4_Propyl_Benzaldehyde,Eucalyptol,trans_2_Pentenal,Hexanal,cis_3_Hexenal,trans_2_Hexenal,Heptanal,1_Octen_3_ol,Benzaldehyde,trans_2_Octenal,Limonene,Linalool,alpha_Terpineol,gamma_Terpinene,Hotrienol,cis_2_Penten_1_ol,Nerol_oxide,beta_Ionone,p_Cymene,Isoterpinolene,Z_beta_Damascenone,E_beta_Damascenone,TDN,alpha_Ionene,Terpinen_4_ol,gamma_Terpineol
HSPCSF3,28,3.22,8.544598737,0.8498,0.63,8.82,0.49,0.64,0.48,1.003264979,1.716191793,0.104035551,0.284901993,0.769620856,2.690864932,604.5711251,356.3975421,1447.295607,0.606450377,4.096709964,5.225443848,1.731773341,0.039349421,0.073098131,1.123608714,0.018540862,0.441666374,10.67141596,0.090384138,0.004424903,0.016207793,0.016427748,0.549341429,5.670452149,0.07335458,0.094165112,0.14582601,0.229522196
HSPCSF5,28,3.22,7.317892927,0.196,0.39,7.69,0.51,0.66,0.47,1.242343444,2.694170145,0.130184824,0.343395369,0.78537223,2.635605681,518.8872216,338.4085021,1393.219976,0.474177882,2.576515338,4.619183597,1.456335865,0.041405375,0.062972954,1.162875534,0.018027796,0.360305382,8.24846321,0.076064959,0.004808316,0.018484324,0.016688544,0.992127451,9.416492144,0.07150575,0.133200017,0.104415353,0.348877648
HSPMEF3,26,3.27,8.957582774,0.8236,0.5,8.88,0.47,0.81,0.38,1.47820768,1.795137606,0.107393223,2.855667952,0.515500491,2.369317371,721.4114068,274.8392019,1889.451846,1.013038334,3.39798242,4.317216406,1.31403166,0.030483823,0.086661598,0.853774812,0.022502896,0.515610086,1.711800973,0.105389264,0.003104848,0.016091516,0.009232189,1.199473272,10.8904598,0.160244763,0.435923157,0.030636073,0.610470549
HSPMEF4,25.5,3.29,9.052533718,0.9264,0.56,9.28,0.47,0.82,0.36,1.443104151,1.858094307,0.09868985,2.689104363,0.471631033,2.425550706,495.4491104,301.1718933,1297.035741,0.670023961,3.31137422,3.558988308,1.348233142,0.031039026,0.075790079,0.756310905,0.017596163,0.444374774,2.268364079,0.211535154,0.002931424,0.013708283,0.013438714,1.183656329,10.74934195,0.130354976,0.671434207,0.022154319,0.528750111
HSPMEF5,26.8,3.35,8.148424568,0.5918,0.53,9.34,0.44,0.74,0.35,1.426347758,1.329693807,0.116096595,2.772386158,0.414063346,2.313084037,470.3126894,248.5065104,1108.141669,0.640466995,4.277283687,4.299747984,1.279830177,0.033653925,0.06081405,0.951238719,0.027409628,0.47999243,1.155237866,0.158462209,0.003278273,0.018474749,0.011335452,1.215290215,11.03157765,0.190134549,0.418070932,0.039117825,0.692190987
SSBCHF1,23.4,3.43,5.361553425,2.9784,0.26,10.71,0.39,0.79,0.38,0,1.993936345,0.062764028,1.3980663,0.468386637,2.463861234,736.509433,915.3132623,1684.516389,0.736756538,2.374593367,2.580260381,1.429016057,0.064314917,1.525361557,3.49324732,0.003045467,0.179943793,7.792189005,0.053077623,0.001859395,0.006485846,0.053887753,0.591529324,5.982922273,0.045363892,0.334405701,0,2.623805334
SSBCHF3,23.6,3.4,6.702315304,3.3414,0.33,11.02,0.42,0.73,0.37,0,1.930092171,0.081630457,1.267175149,0.451838528,3.041797625,993.7965503,829.1732113,2168.167914,0.801357259,2.110284427,3.840814559,1.37919462,0.07084375,1.591844976,4.241184489,0.002695785,0.266355281,10.29734615,0.062724425,0.00229295,0.006821494,0.055745856,0.787438728,7.609280055,0.077217084,0.529409363,0,3.064753683
SSBCHF4,23.9,3.45,6.508704192,2.3895,0.29,11.02,0.37,0.78,0.38,0,2.057780517,0.091980159,1.418274914,0.414656061,2.318072043,805.5313209,718.3505384,1749.064013,0.63156817,1.925582941,2.303486013,1.028273055,0.067579334,2.319018896,3.867215905,0.002870627,0.223149537,9.251312103,0.057901024,0.002706157,0.00665367,0.054816805,0.689484027,6.796101165,0.061290488,0.431907532,0,2.844279508
SSBCSF1,25.2,3.48,4.897960378,0.1657,0.403653799,9.27683796,0.405645254,0.698032241,0.427480964,1.119818586,1.041612873,0.043084021,3.10713929,0.638976256,4.025662998,1223.394838,1045.293225,2500.359152,1.146737936,2.399018703,4.71433926,1.74671891,0.038518069,0.061779414,0.77556834,0.013758582,0.177434625,2.421411456,0.045276122,0.00096958,0.011499486,0.013849638,1.151150991,11.02190907,0.041446131,0.156471455,0.05541848,0.127468967
SSBCSF3,25.1,3.48,5.615882033,0.0489,0.403684772,9.669327553,0.408317127,0.717781556,0.44415688,1.066890293,1.286043306,0.056427226,4.553967886,0.532510076,3.661784769,982.2388882,676.1429564,1674.702861,1.182001323,2.393323269,5.442611837,1.992758942,0.037735167,0.065697524,0.728689725,0.01424853,0.275669989,2.12248985,0.045538687,0.001416325,0.01217318,0.016965694,1.120760731,10.67353714,0.035708165,0.133629549,0.058051406,0.135697248
