,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,features,group
C21_alpha_Terpineol,-0.249821104,-0.014549561,0.093452078,0.067317041,-0.139814284,0.084534837,-0.056947605,-0.092390384,0.023810532,-0.132232955,-0.126553764,-0.113284763,-0.053574544,-0.085895558,-0.009033523,-0.033580226,0.008190208,-0.047072893,-0.002839193,0.004670097,0.10043879,0.012940251,0.14923958,-0.017311383,0.037298974,-0.002639017,-0.11352553,-0.078442454,0.103729503,0.010221935,0.008697837,-0.124052864,-0.146535035,-0.411174012,0.178538693,0.167203771,0.265727602,0.651452687,alpha_Terpineol,Aroma
C37_gamma_Terpinene,0.020263288,-0.232112632,-0.113641418,-0.096140676,-0.079577916,0.373494597,-0.143420076,0.036353334,0.430251728,0.058757911,0.220733586,0.041034635,0.017850445,0.002992972,0.094377864,-0.179065253,0.031185702,0.32325512,0.122641966,-0.09487498,0.170630302,-0.031625527,-0.156617321,0.315609962,-0.122088999,0.04668847,-0.18083542,-0.128200847,0.083503514,-0.14064601,-0.164121252,-0.042014986,0.156609112,-0.011483341,0.150759533,-0.092360764,0.107541406,-0.051345804,gamma_Terpinene,Aroma
C_Hotrienol,-0.211616009,-0.146966326,0.081231346,0.168344398,-0.061044163,0.043808273,0.129440904,-0.271303345,0.037209139,-0.104604567,0.062800056,-0.105184849,0.023455353,-0.031763859,-0.07129217,0.085172631,-0.074873138,-0.084740758,0.207751562,-0.022636111,-0.149852564,-0.205794676,-0.127195421,0.015561537,0.212289452,-0.206850493,0.108134183,0.198626594,0.062471578,0.148731068,-0.219900042,0.099543164,0.232525176,0.379326679,0.212057856,0.301442638,0.254676564,-0.04261036,Hotrienol,Aroma
C31_cis_2_Penten_1_ol,-0.02513329,-0.080536895,0.21298776,0.390088655,0.108369318,0.023748653,0.232489699,0.270144786,-0.16096087,-0.292429806,-0.127726498,-0.102877042,0.093553486,0.365381824,0.038404183,0.115379011,0.237813965,-0.02836494,0.028112777,0.022942909,0.053788009,-0.129076073,-0.217612126,0.247406541,-0.123241209,0.120043533,0.019769637,-0.032474931,-0.123073769,-0.009254534,-0.060287501,0.121170702,0.02903689,-0.182010502,0.165554657,-0.207495576,0.039089297,-0.05740773,cis_2_Penten_1_ol,Aroma
C_Nerol_oxide,-0.222523219,-0.132757023,0.061132681,0.110249476,-0.060938746,-0.045813763,0.187591601,-0.207124508,0.136238797,-0.032459721,0.001291756,0.112383867,0.05032796,-0.102226906,-0.028859068,0.112319967,-0.089249853,0.29342127,-0.174431424,0.021326842,-0.098944522,0.015324432,0.114267154,0.251219065,0.271893738,-0.042824401,0.191627026,0.204684735,-0.295957034,-0.031872283,0.163755687,-0.360030366,0.179242855,-0.164094263,-0.152810211,-0.247529288,-0.141480586,0.011612526,Nerol_oxide,Aroma
C29_beta_Ionone,-0.208222994,-0.09435903,-0.101479827,-0.068864797,0.216476612,-0.032368095,0.07239274,-0.009359091,-0.333051884,0.09894595,-0.173543936,0.016539349,-0.234888119,-0.077842604,0.196033195,-0.090111423,-0.04398487,0.209182944,-0.036659336,-0.223348802,-0.261271381,-0.277604539,0.071373125,0.107389486,-0.096038645,0.139821038,-0.183179777,-0.345289226,0.042828838,0.110160151,0.262529911,0.031451492,0.287578999,0.074271774,-0.011235317,0.073186643,0.047469786,0.017697786,beta_Ionone,Aroma
C36_p_Cymene,-0.075056057,-0.268140993,-0.18654991,0.027090385,-0.210177534,0.253086346,-0.022550951,0.051736624,-0.064529326,0.097012954,0.033051416,0.030607282,-0.169014153,0.279217389,0.006080226,0.062414164,0.340613209,-0.050559186,-0.314651168,0.131550422,0.299303194,-0.185441992,-0.029699413,-0.3059822,0.023781564,-0.241136466,-0.043187026,0.025121508,-0.051981123,0.189173769,0.11065567,-0.074531438,0.163145415,0.047928876,-0.176979875,0.087538266,-0.096325043,0.037652484,p_Cymene,Aroma
C38_Isoterpinolene,-0.251716772,-0.014866712,0.084919384,0.065412755,-0.137035283,0.110602745,-0.033896627,-0.036732681,0.05698172,-0.001475545,-0.013977888,-0.066502514,-0.115068209,-0.065489852,0.094968212,0.01656955,-0.013087449,-0.029370795,-0.075074672,-0.07821663,0.164378846,0.269259065,0.13562102,0.239211024,-0.013642981,0.157979199,-0.061578492,0.097006098,-0.141447044,0.11598498,0.132741888,0.423253645,-0.090949529,0.187618804,0.201495767,0.183241492,-0.528650457,0.055787204,Isoterpinolene,Aroma
C40_Z_beta_Damascenone,-0.126069256,0.134171419,-0.391169251,-0.050209436,-0.065772477,0.060833939,0.083233534,-0.125321575,-0.080970033,-0.009921649,-0.173980315,-0.070204799,0.160279873,0.226158239,-0.175713651,0.003978073,0.074465886,0.031634354,0.281840937,0.087958319,-0.03129878,-0.194333879,0.218683494,-0.075468047,0.071162619,-0.001220866,-0.142009057,-0.026914113,0.0286574,-0.270620639,-0.004064961,-0.151320013,-0.118013572,0.253893126,0.284354299,-0.285620364,-0.260858379,0.112023786,Z_beta_Damascenone,Aroma
C24_E_beta_Damascenone,-0.109769599,0.139396561,-0.413783551,-0.019526117,-0.062105875,0.050134416,0.102277406,-0.116117727,-0.041447236,-0.002645832,-0.104703451,-0.071676703,0.1636465,0.162745949,-0.242376312,-0.051907787,0.019637494,0.235376235,0.185517571,0.04828604,0.125139031,0.148827629,0.043849078,0.134752124,-0.023035119,0.257427654,0.142349281,0.017666194,-0.001102173,0.411348182,-0.002834351,0.128022779,-0.076838625,-0.179813117,-0.262283253,0.18534326,0.206833033,-0.162803761,E_beta_Damascenone,Aroma
C_TDN,-0.228194722,-0.038089033,-0.162802597,0.006035891,-0.060495501,-0.044638242,0.20384238,-0.109132597,-0.043171525,0.233722147,0.115391713,0.141836716,0.064942623,0.072579006,0.239794218,-0.130266498,-0.137882444,-0.190745695,0.215487656,0.110984822,0.004351933,-0.005908909,-0.315804901,-0.033418684,0.021639907,-0.133322922,-0.135430537,0.059642057,-0.283194389,-0.371519097,0.213037954,0.275501821,-0.100778704,-0.205285053,-0.148897336,0.072478195,0.111837631,0.002832803,TDN,Aroma
C_alpha_Ionene,-0.153376835,0.210021424,-0.177803112,-0.036384468,-0.152395846,0.06483936,0.25960349,0.120699241,-0.05793628,0.15565386,0.156527243,0.066441616,0.219097489,0.0282895,-0.033021406,0.07674366,-0.114570289,-0.186380458,-0.575172238,-0.011073665,-0.070761865,0.027166114,-0.067449993,0.112726728,-0.098036318,0.298404403,0.085994109,-0.054126019,0.084241092,-0.191514876,-0.197229158,-0.098612635,0.101879185,0.126868513,0.115164506,0.131134791,0.113149831,0.069467563,alpha_Ionene,Aroma
C40_Terpinen_4_ol,-0.115284369,-0.276093193,-0.163760673,0.044859718,-0.122771363,0.146509279,-0.102492916,0.191191761,0.14435307,0.06271213,0.007370499,-0.017944705,-0.091138168,-0.21999692,-0.072399749,0.380530989,0.015232338,-0.183703937,0.072585099,0.090809453,-0.334344034,-0.231213005,-0.093744642,0.097139473,0.108377647,0.144501309,0.175008234,-0.092831173,0.285931797,0.015526257,0.048556687,0.148597245,-0.29372273,-0.094352621,-0.184408314,-0.136211424,-0.095110232,-0.010202557,Terpinen_4_ol,Aroma
C_gamma_Terpineol,-0.254465158,-0.012557655,0.096876638,0.057069749,-0.118370054,0.075550562,-0.059332128,-0.083958935,0.006185546,-0.094798035,-0.111599271,-0.066564994,-0.015633565,-0.066731817,0.000108834,-0.017596246,0.002961814,-0.073309191,-0.010975048,0.011091447,-0.024975468,-0.044134326,0.104988943,-0.137538439,-0.122184236,-0.004546938,-0.083040416,-0.089582609,0.062390315,-0.167720057,-0.018688452,-0.290960304,-0.097034519,-0.317691107,0.180105636,0.31693208,-0.119901424,-0.646993177,gamma_Terpineol,Aroma
