,Kingdom,Phylum,Class,Order,Family
OTU1768,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Subgroup_2,f__
OTU177,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae
OTU1770,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Pseudohongiellaceae
OTU1773,k__Bacteria,p__Gemmatimonadetes,c__BD2-11_terrestrial_group,o__,f__
OTU1776,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__BIrii41
OTU1778,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__BIrii41
OTU178,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1781,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Ardenticatenales,f__
OTU1782,k__Bacteria,p__Acidobacteria,c__Subgroup_22,o__,f__
OTU17881,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae
OTU179,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU1790,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Ardenticatenales,f__
OTU17908,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae
OTU1791,k__Bacteria,p__Actinobacteria,c__MB-A2-108,o__,f__
OTU1792,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Haliangiaceae
OTU17930,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae
OTU1796,k__Bacteria,p__Chloroflexi,c__P2-11E,o__,f__
OTU17993,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae
OTU18,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae
OTU180,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae
OTU1802,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae
OTU1805,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3
OTU1808,k__Bacteria,p__Actinobacteria,c__MB-A2-108,o__,f__
OTU181,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae
OTU1810,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae
OTU18131,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
OTU18197,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae
OTU182,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae
OTU1820,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Sandaracinaceae
OTU1822,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__,f__
OTU1823,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae
OTU183,k__Bacteria,p__Deinococcus-Thermus,c__Deinococci,o__Deinococcales,f__Deinococcaceae
OTU1830,k__Bacteria,p__,c__,o__,f__
OTU18317,k__Bacteria,p__Chloroflexi,c__OLB14,o__,f__
OTU1832,k__Bacteria,p__Armatimonadetes,c__,o__,f__
OTU1837,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3
OTU1838,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae
OTU1839,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae
OTU184,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae
OTU1847,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU185,k__Bacteria,p__Planctomycetes,c__Phycisphaerae,o__Tepidisphaerales,f__
OTU1850,k__Bacteria,p__Acidobacteria,c__Subgroup_5,o__,f__
OTU1853,k__Bacteria,p__Gemmatimonadetes,c__BD2-11_terrestrial_group,o__,f__
OTU1854,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Opitutales,f__Opitutaceae
OTU1858,k__Bacteria,p__Acidobacteria,c__Blastocatellia_Subgroup_4,o__Pyrinomonadales,f__Pyrinomonadaceae
OTU18580,k__Bacteria,p__Acidobacteria,c__Subgroup_25,o__,f__
OTU18584,k__Bacteria,p__Chloroflexi,c__TK10,o__,f__
OTU1859,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Archangiaceae
OTU186,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Amoebophilaceae
OTU1861,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae
OTU1862,k__Bacteria,p__Chloroflexi,c__TK10,o__,f__
OTU1864,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__,f__
OTU1865,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae
OTU1867,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__
OTU18692,k__Bacteria,p__Chloroflexi,c__Gitt-GS-136,o__,f__
OTU187,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae
OTU1870,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__,f__
OTU1872,k__Bacteria,p__Chloroflexi,c__TK10,o__,f__
OTU1874,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3
OTU1876,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3
OTU188,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae
OTU1880,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae
OTU1883,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b
OTU18835,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3
OTU18850,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae
OTU1887,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Solibacterales,f__Solibacteraceae_Subgroup_3
OTU1889,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b
OTU189,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae
OTU19,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae
OTU190,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae
OTU1900,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae
OTU1903,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Rhodocyclaceae
OTU19038,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae
OTU1904,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae
OTU1908,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae
OTU1909,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__uncultivated_soil_bacterium_clone_C028,f__
OTU19096,k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__,f__
OTU191,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
OTU1911,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__IMCC26256,f__
OTU19120,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae
OTU1913,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae
OTU19132,k__Bacteria,p__Acidobacteria,c__Blastocatellia_Subgroup_4,o__Pyrinomonadales,f__Pyrinomonadaceae
OTU1917,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__
OTU192,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae
OTU1922,k__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__JG30-KF-CM45
OTU1927,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Ktedonobacterales,f__Ktedonobacteraceae
OTU193,k__Bacteria,p__Acidobacteria,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae
OTU1934,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__
OTU19349,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae
OTU1935,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae
OTU1938,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__
OTU194,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae
OTU1944,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__
OTU195,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Salinisphaerales,f__Solimonadaceae
OTU1950,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae
OTU1951,k__Bacteria,p__Chloroflexi,c__JG30-KF-CM66,o__,f__
